wyId,role_name,shortName
12,20519,Defender,A. Ranocchia
18,21094,Defender,D. D'Ambrosio
6,7982,Defender,D. Santon
0,298212,Defender,Dalbert
23,135903,Defender,João Cancelo
16,3431,Defender,João Miranda
19,86785,Defender,L. López
5,138408,Defender,M. Škriniar
2,69409,Defender,Š. Vrsaljko
22,256480,Forward,B. Keita
17,20626,Forward,Eder
8,206314,Forward,M. Icardi
20,352993,Forward,Y. Karamoh
15,20572,Goalkeeper,D. Padelli
14,20571,Goalkeeper,S. Handanovič
3,70161,Goalkeeper,T. Berni
13,20556,Midfielder,A. Candreva
7,3543,Midfielder,Borja Valero
10,14812,Midfielder,I. Perišić
4,70965,Midfielder,João Mário
21,69968,Midfielder,M. Brozović
11,116349,Midfielder,M. Vecino
9,241676,Midfielder,R. Gagliardini
1,3344,Midfielder,Rafinha
